year,positivo,negativo,neutral
1989,1,1,1
1990,5,5,5
1991,1,1,1
1992,3,3,3
1993,3,3,3
1994,14,14,14
1995,14,14,14
1996,9,9,9
1997,36,36,36
1998,85,85,85
1999,69,69,69
2000,82,82,82
2001,31,31,31
2002,39,39,39
2003,190,190,190
2004,491,491,491
2005,230,230,230
2006,1902,1902,1902
2007,347,347,347
2008,411,411,411
2009,1717,1717,1717
2010,1696,1696,1696
2011,2925,2925,2925
2012,7913,7913,7913
2013,6465,6465,6465
2014,5431,5431,5431
2015,5610,5610,5610
2016,2546,2546,2546
2017,1909,1909,1909
NaT,1855,1855,1855
